name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Goa College of Engineering,"Bhausaheb Bandodkar Technical Education Complex Farmagudi, Ponda, Goa 403401",gec.ac.in,0832 233 6301,508,4.5,15.4224841,73.9621429
GVM's GGPR College of Commerce & Economics,"Donshiwado, Bandoda, Ponda, Goa 403401",gvmcommercecollege.ac.in,0832 233 5875,102,3.8,15.4066823,73.9749383
G.V.M's College Of Commerce And Arts,"CX4V+W2P, Donshiwado, Bandoda, Ponda, Goa 403401",,,2,4.0,15.4066823,73.9749383
Indian Institute Of Technology Goa,"Bhausaheb Bandodkar Technical Education Complex, Goa Engineering College Campus, Farmagudi, Ponda, Goa 403401",iitgoa.ac.in,0832 249 0861,148,4.2,15.4225519,73.9618227
G V M College Of Education,"C222+GV7, Almeida High School Campus, Ponda, Goa, 403401",gvmcollege.com,0832 233 5890,5,4.6,15.4012831,73.9841542
PES's College of Education,"PES's College of Education, NH 4A, near Gopal Ganesh Mandir, Farmagudi, Ponda, Goa 403401",pescoe.com,0832 297 4572,48,3.9,15.4148542,73.9707353
PES College of Arts and Science,"CX7Q+CHW, Donshiwado, Bandoda, Ponda, Goa 403404",,,79,4.2,15.4148542,73.9707353
NICMAR,"CX6Q+FWR, Donshiwado, Bandoda, Ponda, Goa 403401",nicmar.ac.in,,63,4.7,15.4148542,73.9707353
GVM's Dr. Dada Vaidya College Of Education,"CX4V+RCW, Farmagudi, Ponda, Goa 403401",gvmcollege.com,0832 231 5168,42,4.2,15.4148542,73.9707353
Don Bosco College,"MG Road, Panaji, Goa 403001",donboscogoa.ac.in,0832 242 1929,121,4.1,15.4970936,73.8039594
Fr. Agnel College of Arts and Commerce,"Fr. Agnel Church, Pilar, Goa 403402",fragnelcollege.edu.in,0832 221 8673,164,4.2,15.4394603,73.8758358
Don Bosco Community College,"8XPG+38Q, Carcol, Loutolim, Goa 403718",,0832 285 8218,13,4.8,15.3352243,73.9578227
MES College of Arts and Commerce,"9VV7+5GQ, MES College Rd, Zuarinagar, Sancoale, Dabolim, Goa 403726",mescollege.org,0832 255 5772,372,4.0,15.3929635,73.84583
National Institute of Technology Goa,"near ITI College, Farmagudi, Ponda, Veling, Goa 403401",nitgoa.ac.in,0832 240 4200,227,4.1,15.4123817,73.960077
IIT Goa Academic Building,"CXFH+3C7, Veling, Goa 403404",iitgoa.ac.in,0832 249 0861,49,4.3,15.4123817,73.960077
Parvatibai Chowgule College Arts And Science (Autonomous),"Cupangale Society, Margao, Goa 403601",chowgules.ac.in,0832 272 2222,240,4.2,15.2899687,73.9625145
Goa Vidyaprasarak Mandal,"C223+C56, Ponda - Panaji Rd, Varkhande, Khadpabandh, Ponda, Goa 403401",gvmponda.com,0832 231 3484,8,4.6,15.401027,73.9848616
Electronics & Telecommunication Engineering Department,"CXGH+8J9, Goa Engineering College, Ponda Goa, Goa 403401",,0832 233 6302,102,4.4,15.425794,73.9610982
St.Joseph Vaz Institute of Education,"9WW4+7WQ, Church St, Cortalim, Goa 403710",goasjvie.org,2550812,7,3.6,15.3958158,73.8892929
Indian Institute of Technology Goa,"C235+34M, Kazi Waza, Ponda, Goa 403401",,,,,15.4027005,73.9897605
Department of Mechanical Engineering,"Electrical and Electronics Engineering Department (Annexure), Veling, Goa 403404",,,7,4.1,15.4239731,73.9613302
St. Joseph Vaz College,"9WW4+7WQ, Near Our Lady of Perpetual High School, Church Street, Blessed Joseph Vaz Rd, Cortalim, Goa 403710",stjosephvazcollege.in,0832 255 0812,48,4.4,15.4239731,73.9613302
GEC Workshop,"CXFH+HWJ, Veling, Goa 403404",,0832 233 6401,15,3.8,15.4239711,73.961754
Pharmacy collage Ponda Goa,"CX8Q+37Q, National Highway 4A, Donshiwado, Ponda, Goa 403404",,,,,15.4239711,73.961754
"Murgaon Education Society College of Arts and Science- Vasco, Goa.","9RX6+7GG, Vaddem, Vasco da Gama, Goa 403802",,,1,5.0,15.3981945,73.7933007
RMS College,"7XF2+HM6, Margao, Goa 403601",,,41,4.2,15.2739131,73.9336041
Goa College of Art,"FRMG+977, Electricity Colony, Altinho, Panaji, Goa 403001",goacollegeofart.com,0832 222 6104,59,3.8,15.4834079,73.8076386
Dempo Charities Trust’S Dhempe College Of Arts & Science,"FRRH+94H, Fontainhas (quarter), Altinho, Panaji, Goa 403001",,,,,15.4834079,73.8076386
Nirmala Institute Of Education,"FRRF+H6C Nirmala Institute Of Education, Ramchandra Naik Rd, Altinho, Panaji, Goa 403001",nirmalainstitute.org,0832 222 5633,78,4.3,15.4834079,73.8076386
Computer Engineering Department,"CXFH+M8H, Goa Engineering College, Farmagudi, Goa 403401",,,6,4.3,15.4241945,73.9603412
