name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Feels Salon & Spa,"Savitri Hall, Satya Commerce Center, Ponda- Belgaum By Pass, Highway, Ponda – Curti Rd, Curti, Ponda, Goa 403401",,,16,4.9,15.4138011,73.9403372
"Neomis Hair & Beauty Salon, Ponda","5/175/18(3, opposite Government High School, Shanti Nagar, Ponda, Goa 403401",neomissalonandspa.com,077740 06595,437,4.3,15.4138011,73.9403372
Vandana ladies salon,"1st Floor, Summit Shivam Complex, opp. hotel menino, Ponda, Goa 403401",,098233 64916,26,4.4,15.4138011,73.9403372
Lotus Hair and Beauty Salon,"1st Floor, Almeida High School, Heritage Princes Building, opposite to Ponda, Khadpabandh, Ponda, Goa 403401",lotussalon.in,083085 51132,79,4.8,15.4138011,73.9403372
Cinderella Beauty Parlour And Makeup Studio,"Shop no. 3, near Rajiv Kala Mandir Road, Durgabhat, Betora, Ponda, Goa 403401",instagram.com,098346 98231,30,4.6,15.4138011,73.9403372
STEVEN DA COSTA salon,"On watsup appointment only, Kurtarkar Commercial Arcade, Kazi Waza, Ponda, Goa 403401",,094202 30378,15,5.0,15.4138011,73.9403372
Niki's Beauty Studio Ponda l Beauty Parlour l Hair and Beauty Salon l Makeup and NailArt,"Friends Colony, Khadpabandh, Ponda, Goa 403401",,082085 21347,15,5.0,15.4138011,73.9403372
Merakhi hair and beauty studio,"2nd floor, Sumit Shivam Complex, opposite Kalpana Ice cream parlour, Ponda, Goa 403401",instagram.com,070588 14916,283,4.6,15.4138011,73.9403372
Saroj's Beauty Salon,"Belgaum bypass road, after savitri hall, before housing board colony Nagzar, Curti, Ponda, Goa 403401",,097663 12836,9,5.0,15.4138011,73.9403372
Karishma Beauty Parlour,"Dada Vaidya Chowk, Khadpabandh, Ponda, Goa 403401",instagram.com,098225 85276,158,4.5,15.4138011,73.9403372
Mantesh Hair Dresser,"Upper Bazar, Durgabhat, Ponda, Goa 403401",,094201 64482,21,5.0,15.4138011,73.9403372
Chimus Beauty Parlour,"Shop No ALG-35 Ground Floor, A Block, Heritage Princess Building, opp. Almeida High-school, Ponda, Goa 403401",,095455 32705,20,3.9,15.4138011,73.9403372
Alfia Hair & Beauty Salon,"Shop No. 5, Remendious plaza, Upper Bazar Rd, near forest check post, Ponda, Goa 403401",instagram.com,096378 64338,37,4.1,15.4138011,73.9403372
Ved Fitness And Beauty,"Ved, Prabhu Nagar, Ponda, Goa 403401",,,252,4.1,15.4138011,73.9403372
Lucky Hair Cutting Salon,"Shop No. 2 & 3, Ganaraj Arcade, near Kamat Nursing Home, Shanti Nagar, Ponda, Goa 403401",,,12,3.8,15.4138011,73.9403372
Orchid Wellness & Spa,"1st floor, Corrie's Pride, Next to KTC Bus stand, Salcete, Margao, Goa 403601",business.site,092845 63967,115,4.0,15.289929,73.8827432
Supriya's Ladies Beauty Parlour,"92X6+QP2, Shanti Nagar, Ponda, Goa 403401",instagram.com,098227 50240,19,3.9,15.3993887,73.9396709
"Blush Beauty Hub, by Afrin","Afrin Manzil building, Sapna Park, Prabhu Nagar, Ponda, Goa 403401",instagram.com,082081 54310,21,5.0,15.3993887,73.9396709
Serene Wellness Centre,"Oasis Villa, Vidhyanagar Colony, Dabolim, Goa 403726",,086053 00777,110,4.4,15.3943205,73.7823594
Om ayurveda massage and therapy center,"Majorda Beach Rd, opposite Pentagon restaurant, Pacheco Vaddo, Majorda, Goa 403713",,097672 41403,48,4.7,15.3125573,73.835188
Swami Ayurveda Clinic,"8W56+34Q, Unnamed Road, Pacheco Vaddo, Gonsua, Goa 403713",,099212 12825,135,4.8,15.3125573,73.835188
Amanya - Salon & Spa,"survey 17/1, Bogmalo Road, Ranghavi Estate, Vasco da Gama, Goa 403802",amanyasalonandspa.com,090967 00407,405,4.4,15.3808632,73.7790132
Shamana Spa,"Grand Hyatt Goa, Spa Wing, P.O Goa University, Bambolim, Goa 403206",,0832 301 1234,34,4.6,15.4524038,73.7795988
Tattva Spa Goa,"Utorda Beach Rd, Utorda, Majorda, Goa 403713",tattvaspa.com,099991 20413,226,4.7,15.3200428,73.8297222
Keyaan Salon & Spa,"3174, Keyaan Salon & Spa Building, Murida Rd, Agalli, Fatorda, Margao, Goa 403602",instagram.com,084466 49819,50,4.5,15.2910604,73.9013463
ANTARIA HAIR & BEAUTY SALON,"Shop No.17, 18,&19, Umiya Quatro Plot C Rd, Green Valley, Vasco da Gama, Dabolim, Goa 403801",antariasalonandspa.com,086984 11115,563,4.6,15.3868573,73.7732896
Borkar's Groomify Hair Spa & Salon,"Top cola, Junction, Borim, Goa 403103",,,11,5.0,15.3689947,73.9370232
Ocean Spa & Salon,"Queeny Crown Building, opposite IDBI Bank, Colva, Vanelim, Goa 403708",,077988 18180,278,3.9,15.2778556,73.8563066
"Snip Salon & Spa, Grand Hyatt","Goa University Road, Grand Hyatt, Bambolim, Goa 403206",snip.co.in,093702 81418,40,4.9,15.4507203,73.7799667
Meridian touch Salon,"1018/D, Opposite Government Veterinary Hospital, Margao – Curtorim - Macasana Rd, Sonsodo, Raia, Goa 403720",,,25,4.8,15.2945718,73.9197772
