name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Boston Dental,"36 Chauncy St, Boston, MA 02111, United States",bostondental.com,+1 617-338-5000,296,4.6,42.3523034,-71.1066615
Boston Dental,"35 Court St, Boston, MA 02108, United States",bostondental.com,+1 617-402-5000,134,4.9,42.3523034,-71.1066615
Boston Smiles,"151 Merrimac St Suite 100, Boston, MA 02114, United States",bostonsmilesdental.com,+1 617-982-2233,243,4.8,42.3523034,-71.1066615
South Boston Dental Group,"29 Farragut Rd # D, Boston, MA 02127, United States",southbostondental.com,+1 617-268-1030,707,4.9,42.3523034,-71.1066615
Dental Arts of Boston,"26 Marlborough St, Boston, MA 02116, United States",bostoncosmeticdentistma.com,+1 617-266-0441,194,4.9,42.354032,-71.1417281
Tend Dental Post Office Square,"12 Post Office Square, Boston, MA 02109, United States",hellotend.com,+1 212-686-3686,280,4.5,42.354032,-71.1417281
Dental Health and Wellness Boston,"31 State St 7th Floor, Boston, MA 02109, United States",dentalhealthandwellnessboston.com,+1 617-742-1220,74,4.9,42.354032,-71.1417281
"Boston Premier Dentistry, PC","10 Tremont St UNIT 402, Boston, MA 02108, United States",,+1 617-523-2459,46,5.0,42.354032,-71.1417281
East Boston Dental Associates,"3 Meridian St, Boston, MA 02128, United States",,+1 617-569-7300,162,4.8,42.354032,-71.1417281
Dental Partners of Boston - Fort Point,"46 Farnsworth St, Boston, MA 02210, United States",dentalpartnersofboston.com,+1 617-752-7752,56,4.8,42.354032,-71.1417281
Boston Dental,"22 Boston Wharf Rd, Boston, MA 02210, United States",bostondental.com,+1 617-706-5000,115,5.0,42.354032,-71.1417281
CITIDental,"63 Court St, Boston, MA 02108, United States",citidentalboston.com,+1 617-723-6300,314,4.5,42.354032,-71.1417281
Faneuil Hall Dental Associates,"1 McKinley Square Lobby B, Boston, MA 02109, United States",fhdental.com,+1 617-523-4444,154,5.0,42.354032,-71.1417281
South Boston Family Dental,"591 E Broadway, Boston, MA 02127, United States",southbostonfamilydental.com,+1 617-268-5638,454,4.8,42.354032,-71.1417281
Seaport Dental Associates Boston,"451 D St #200, Boston, MA 02210, United States",seaportdental.com,+1 617-737-6453,270,4.9,42.354032,-71.1417281
Warshauer & Santamaria Boston Dentists,"396 Commonwealth Ave 2nd floor, Boston, MA 02215, United States",backbaybostondentist.com,+1 617-437-1520,348,4.9,42.354032,-71.1417281
CITIDental,"32 Tremont St, Boston, MA 02108, United States",citidentaltremont.com,+1 857-239-8747,120,4.6,42.354032,-71.1417281
Great Hill Dental - Boston,"1610 Tremont St, Boston, MA 02120, United States",boston.greathilldental.com,+1 617-379-1966,436,4.6,42.3337321,-71.176046
Devonshire Dental of Boston,"185 Devonshire St STE 410, Boston, MA 02110, United States",devonshiredental.net,+1 617-350-7474,491,5.0,42.3559346,-71.1296617
CITIDental South Boston,"141 Dorchester Ave, Boston, MA 02127, United States",citidentalsouthboston.com,+1 617-482-7300,163,4.8,42.3559346,-71.1296617
